node,latitude,longitude
476,-2.1427,-79.96801
477,-2.1427,-79.96799
478,-2.1427,-79.96796
479,-2.1427,-79.96793
480,-2.1427,-79.9679
481,-2.1427,-79.96787
482,-2.1427,-79.96784
483,-2.1427,-79.96781
484,-2.1427,-79.96778
485,-2.1427,-79.96775
486,-2.1427,-79.96772
487,-2.1427,-79.96769
488,-2.1427,-79.96766
489,-2.1427,-79.96763
490,-2.1427,-79.9676
491,-2.1427,-79.96757
492,-2.1427,-79.96754
493,-2.1427,-79.96751
494,-2.1427,-79.96748
495,-2.1427,-79.96745
496,-2.1427,-79.96742
497,-2.1427,-79.96739
498,-2.1427,-79.96736
499,-2.1427,-79.96733
500,-2.1427,-79.9673
501,-2.1427,-79.96727
502,-2.1427,-79.96724
503,-2.1427,-79.96721
504,-2.1427,-79.96718
505,-2.1427,-79.96715
506,-2.1427,-79.96712
507,-2.1427,-79.96709
508,-2.1427,-79.96706
509,-2.1427,-79.96703
510,-2.14267,-79.96801
511,-2.14267,-79.96799
512,-2.14267,-79.96796
513,-2.14267,-79.96793
514,-2.14267,-79.9679
515,-2.14267,-79.96787
516,-2.14267,-79.96784
517,-2.14267,-79.96781
518,-2.14267,-79.96778
519,-2.14267,-79.96775
520,-2.14267,-79.96772
521,-2.14267,-79.96769
522,-2.14267,-79.96766
523,-2.14267,-79.96763
524,-2.14267,-79.9676
525,-2.14267,-79.96757
526,-2.14267,-79.96754
527,-2.14267,-79.96751
528,-2.14267,-79.96748
529,-2.14267,-79.96745
530,-2.14267,-79.96742
531,-2.14267,-79.96739
532,-2.14267,-79.96736
533,-2.14267,-79.96733
534,-2.14267,-79.9673
535,-2.14267,-79.96727
536,-2.14267,-79.96724
537,-2.14267,-79.96721
538,-2.14267,-79.96718
539,-2.14267,-79.96715
540,-2.14267,-79.96712
541,-2.14267,-79.96709
542,-2.14267,-79.96706
543,-2.14267,-79.96703
544,-2.14264,-79.96801
545,-2.14264,-79.96799
546,-2.14264,-79.96796
547,-2.14264,-79.96793
548,-2.14264,-79.9679
549,-2.14264,-79.96787
550,-2.14264,-79.96784
551,-2.14264,-79.96781
552,-2.14264,-79.96778
553,-2.14264,-79.96775
554,-2.14264,-79.96772
555,-2.14264,-79.96769
556,-2.14264,-79.96766
557,-2.14264,-79.96763
558,-2.14264,-79.9676
559,-2.14264,-79.96757
560,-2.14264,-79.96754
561,-2.14264,-79.96751
562,-2.14264,-79.96748
563,-2.14264,-79.96745
564,-2.14264,-79.96742
565,-2.14264,-79.96739
566,-2.14264,-79.96736
567,-2.14264,-79.96733
568,-2.14264,-79.9673
569,-2.14264,-79.96727
570,-2.14264,-79.96724
571,-2.14264,-79.96721
572,-2.14264,-79.96718
573,-2.14264,-79.96715
574,-2.14264,-79.96712
575,-2.14264,-79.96709
576,-2.14264,-79.96706
577,-2.14264,-79.96703
578,-2.14262,-79.96801
579,-2.14262,-79.96799
580,-2.14262,-79.96796
581,-2.14262,-79.96793
582,-2.14262,-79.9679
583,-2.14262,-79.96787
584,-2.14262,-79.96784
585,-2.14262,-79.96781
586,-2.14262,-79.96778
587,-2.14262,-79.96775
588,-2.14262,-79.96772
589,-2.14262,-79.96769
590,-2.14262,-79.96766
591,-2.14262,-79.96763
592,-2.14262,-79.9676
593,-2.14262,-79.96757
594,-2.14262,-79.96754
595,-2.14262,-79.96751
596,-2.14262,-79.96748
597,-2.14262,-79.96745
598,-2.14262,-79.96742
599,-2.14262,-79.96739
600,-2.14262,-79.96736
601,-2.14262,-79.96733
602,-2.14262,-79.9673
603,-2.14262,-79.96727
604,-2.14262,-79.96724
605,-2.14262,-79.96721
606,-2.14262,-79.96718
607,-2.14262,-79.96715
608,-2.14262,-79.96712
609,-2.14262,-79.96709
610,-2.14262,-79.96706
611,-2.14262,-79.96703
612,-2.14258,-79.96801
628,-2.14258,-79.96754
629,-2.14258,-79.96751
630,-2.14258,-79.96748
631,-2.14258,-79.96745
632,-2.14258,-79.96742
633,-2.14258,-79.96739
634,-2.14258,-79.96736
635,-2.14258,-79.96733
636,-2.14258,-79.9673
637,-2.14258,-79.96727
638,-2.14258,-79.96724
639,-2.14258,-79.96721
640,-2.14258,-79.96718
641,-2.14258,-79.96715
642,-2.14258,-79.96712
643,-2.14258,-79.96709
644,-2.14258,-79.96706
645,-2.14258,-79.96703
646,-2.14255,-79.96801
662,-2.14255,-79.96754
663,-2.14255,-79.96751
664,-2.14255,-79.96748
665,-2.14255,-79.96745
666,-2.14255,-79.96742
667,-2.14255,-79.96739
668,-2.14255,-79.96736
669,-2.14255,-79.96733
670,-2.14255,-79.9673
671,-2.14255,-79.96727
672,-2.14255,-79.96724
673,-2.14255,-79.96721
674,-2.14255,-79.96718
675,-2.14255,-79.96715
676,-2.14255,-79.96712
677,-2.14255,-79.96709
678,-2.14255,-79.96706
679,-2.14255,-79.96703
680,-2.14253,-79.96801
696,-2.14253,-79.96754
697,-2.14253,-79.96751
698,-2.14253,-79.96748
699,-2.14253,-79.96745
700,-2.14253,-79.96742
701,-2.14253,-79.96739
702,-2.14253,-79.96736
703,-2.14253,-79.96733
704,-2.14253,-79.9673
705,-2.14253,-79.96727
706,-2.14253,-79.96724
707,-2.14253,-79.96721
708,-2.14253,-79.96718
709,-2.14253,-79.96715
710,-2.14253,-79.96712
711,-2.14253,-79.96709
712,-2.14253,-79.96706
713,-2.14253,-79.96703
714,-2.14249,-79.96801
730,-2.14249,-79.96754
731,-2.14249,-79.96751
732,-2.14249,-79.96748
733,-2.14249,-79.96745
734,-2.14249,-79.96742
735,-2.14249,-79.96739
736,-2.14249,-79.96736
737,-2.14249,-79.96733
738,-2.14249,-79.9673
739,-2.14249,-79.96727
740,-2.14249,-79.96724
741,-2.14249,-79.96721
742,-2.14249,-79.96718
743,-2.14249,-79.96715
744,-2.14249,-79.96712
745,-2.14249,-79.96709
746,-2.14249,-79.96706
747,-2.14249,-79.96703
748,-2.14246,-79.96801
764,-2.14246,-79.96754
765,-2.14246,-79.96751
766,-2.14246,-79.96748
767,-2.14246,-79.96745
768,-2.14246,-79.96742
769,-2.14246,-79.96739
770,-2.14246,-79.96736
771,-2.14246,-79.96733
772,-2.14246,-79.9673
773,-2.14246,-79.96727
774,-2.14246,-79.96724
775,-2.14246,-79.96721
776,-2.14246,-79.96718
777,-2.14246,-79.96715
778,-2.14246,-79.96712
779,-2.14246,-79.96709
780,-2.14246,-79.96706
781,-2.14246,-79.96703
782,-2.14243,-79.96801
798,-2.14243,-79.96754
799,-2.14243,-79.96751
800,-2.14243,-79.96748
801,-2.14243,-79.96745
802,-2.14243,-79.96742
803,-2.14243,-79.96739
804,-2.14243,-79.96736
805,-2.14243,-79.96733
806,-2.14243,-79.9673
807,-2.14243,-79.96727
808,-2.14243,-79.96724
809,-2.14243,-79.96721
810,-2.14243,-79.96718
811,-2.14243,-79.96715
812,-2.14243,-79.96712
813,-2.14243,-79.96709
814,-2.14243,-79.96706
815,-2.14243,-79.96703
816,-2.14241,-79.96801
832,-2.14241,-79.96754
833,-2.14241,-79.96751
834,-2.14241,-79.96748
835,-2.14241,-79.96745
836,-2.14241,-79.96742
837,-2.14241,-79.96739
838,-2.14241,-79.96736
839,-2.14241,-79.96733
840,-2.14241,-79.9673
841,-2.14241,-79.96727
842,-2.14241,-79.96724
843,-2.14241,-79.96721
844,-2.14241,-79.96718
845,-2.14241,-79.96715
846,-2.14241,-79.96712
847,-2.14241,-79.96709
848,-2.14241,-79.96706
849,-2.14241,-79.96703
850,-2.14237,-79.96801
866,-2.14237,-79.96754
867,-2.14237,-79.96751
868,-2.14237,-79.96748
869,-2.14237,-79.96745
870,-2.14237,-79.96742
871,-2.14237,-79.96739
872,-2.14237,-79.96736
873,-2.14237,-79.96733
874,-2.14237,-79.9673
875,-2.14237,-79.96727
876,-2.14237,-79.96724
877,-2.14237,-79.96721
878,-2.14237,-79.96718
879,-2.14237,-79.96715
880,-2.14237,-79.96712
881,-2.14237,-79.96709
882,-2.14237,-79.96706
883,-2.14237,-79.96703
